"Class","Library","Total Instances","Total Size","Total Dart Heap Size","Total External Size","New Space Instances","New Space Size","New Space Dart Heap Size","New Space External Size","Old Space Instances","Old Space Size","Old Space Dart Heap Size","Old Space External Size"
PdfPermissionsFlags,package:syncfusion_flutter_pdf/src/pdf/implementation/security/enum.dart,9,288,288,0,0,0,0,0,9,288,288,0
IndexableSkipList,package:hive/src/util/indexable_skip_list.dart,6,288,288,0,0,0,0,0,6,288,288,0
ResolvedAdapter,package:hive/src/registry/type_registry_impl.dart,9,288,288,0,0,0,0,0,9,288,288,0
Keystore,package:hive/src/box/keystore.dart,6,288,288,0,0,0,0,0,6,288,288,0
BoxImpl,package:hive/src/box/box_impl.dart,6,288,288,0,0,0,0,0,6,288,288,0
_NavIconButton,package:spendant/src/widgets/spendant_bottom_nav.dart,8,256,256,0,4,128,128,0,4,128,128,0
_CurrentSection,package:vector_graphics_codec/vector_graphics_codec.dart,8,256,256,0,0,0,0,0,8,256,256,0
_PictureKey,package:vector_graphics/src/vector_graphics.dart,8,256,256,0,0,0,0,0,8,256,256,0
_PictureData,package:vector_graphics/src/vector_graphics.dart,8,256,256,0,0,0,0,0,8,256,256,0
PdfToken,package:syncfusion_flutter_pdf/src/pdf/implementation/exporting/pdf_text_extractor/parser/content_lexer.dart,8,256,256,0,0,0,0,0,8,256,256,0
Weekday,package:firstfloor_calendar/src/semantic/calendar_enums.dart,7,224,224,0,0,0,0,0,7,224,224,0
PdfCjkFontFamily,package:syncfusion_flutter_pdf/src/pdf/implementation/graphics/fonts/enums.dart,7,224,224,0,0,0,0,0,7,224,224,0
CalendarConnectionStatus,package:spendant/src/services/calendar_availability_service.dart,7,224,224,0,0,0,0,0,7,224,224,0
ConnectivityResult,package:connectivity_plus_platform_interface/src/enums.dart,7,224,224,0,0,0,0,0,7,224,224,0
ActionCodeInfoOperation,package:firebase_auth_platform_interface/src/pigeon/messages.pigeon.dart,7,224,224,0,0,0,0,0,7,224,224,0
ParticipationStatus,package:firstfloor_calendar/src/semantic/calendar_enums.dart,7,224,224,0,0,0,0,0,7,224,224,0
RecurrenceFrequency,package:firstfloor_calendar/src/semantic/calendar_enums.dart,7,224,224,0,0,0,0,0,7,224,224,0
AutoCategorizationFallbackReason,package:spendant/src/services/auto_categorization_service.dart,7,224,224,0,0,0,0,0,7,224,224,0
AntAsset,package:spendant/src/widgets/auth_chrome.dart,6,192,192,0,0,0,0,0,6,192,192,0
CameraInfo,package:exif/src/makernote_canon.dart,6,192,192,0,0,0,0,0,6,192,192,0
PermissionStatus,package:permission_handler_platform_interface/permission_handler_platform_interface.dart,6,192,192,0,0,0,0,0,6,192,192,0
_CanonicalDocumentCandidate,package:spendant/src/services/cloud_sync_service.dart,6,192,192,0,6,192,192,0,0,0,0,0
FieldValueType,package:cloud_firestore_platform_interface/src/method_channel/method_channel_field_value.dart,6,192,192,0,0,0,0,0,6,192,192,0
CalendarUserType,package:firstfloor_calendar/src/semantic/calendar_enums.dart,5,160,160,0,0,0,0,0,5,160,160,0
TextDecorationStyle,package:vector_graphics_compiler/src/paint.dart,5,160,160,0,0,0,0,0,5,160,160,0
_Type,package:syncfusion_flutter_pdf/src/pdf/implementation/compression/pdf_png_filter.dart,5,160,160,0,0,0,0,0,5,160,160,0
MatrixTypes,package:syncfusion_flutter_pdf/src/pdf/implementation/exporting/pdf_text_extractor/matrix_helper.dart,5,160,160,0,0,0,0,0,5,160,160,0
AutoCategorizationResult,package:spendant/src/services/auto_categorization_service.dart,5,160,160,0,0,0,0,0,5,160,160,0
PdfFontFamily,package:syncfusion_flutter_pdf/src/pdf/implementation/graphics/fonts/enums.dart,5,160,160,0,0,0,0,0,5,160,160,0
IncomeModel,package:spendant/src/models/income_model.dart,2,160,160,0,0,0,0,0,2,160,160,0
PdfEncryptionAlgorithm,package:syncfusion_flutter_pdf/src/pdf/implementation/security/enum.dart,5,160,160,0,0,0,0,0,5,160,160,0
AuthResult,package:spendant/src/services/auth_service.dart,5,160,160,0,0,0,0,0,5,160,160,0
ImageFormat,package:vector_graphics_compiler/src/image/image_info.dart,5,160,160,0,0,0,0,0,5,160,160,0
PathCommandType,package:vector_graphics_compiler/src/geometry/path.dart,4,128,128,0,0,0,0,0,4,128,128,0
_GooglePaySimulationTemplate,package:spendant/src/services/google_pay_expense_import_service.dart,4,128,128,0,0,0,0,0,4,128,128,0
PdfVersion,package:syncfusion_flutter_pdf/src/pdf/implementation/pdf_document/enums.dart,4,128,128,0,0,0,0,0,4,128,128,0
PdfPageRotateAngle,package:syncfusion_flutter_pdf/src/pdf/implementation/pages/enum.dart,4,128,128,0,0,0,0,0,4,128,128,0
_ErrorType,package:syncfusion_flutter_pdf/src/pdf/implementation/io/pdf_parser.dart,4,128,128,0,0,0,0,0,4,128,128,0
ParticipationRole,package:firstfloor_calendar/src/semantic/calendar_enums.dart,4,128,128,0,0,0,0,0,4,128,128,0
CalendarAccessResult,package:spendant/src/services/calendar_availability_service.dart,4,128,128,0,0,0,0,0,4,128,128,0
PigeonTransactionType,package:cloud_firestore_platform_interface/src/pigeon/messages.pigeon.dart,4,128,128,0,0,0,0,0,4,128,128,0
FirebaseOptions,package:firebase_core_platform_interface/firebase_core_platform_interface.dart,2,128,128,0,0,0,0,0,2,128,128,0
LocationPermission,package:geolocator_platform_interface/src/enums/location_permission.dart,4,128,128,0,0,0,0,0,4,128,128,0
SpendAntNavItem,package:spendant/src/widgets/spendant_bottom_nav.dart,4,128,128,0,0,0,0,0,4,128,128,0
PictureInfo,package:vector_graphics/src/listener.dart,8,128,128,0,0,0,0,0,8,128,128,0
SpendingAdviceKind,package:spendant/src/services/spending_advice_service.dart,4,128,128,0,0,0,0,0,4,128,128,0
GooglePayImportStatus,package:spendant/src/services/google_pay_expense_import_service.dart,4,128,128,0,0,0,0,0,4,128,128,0
DailyBudgetSummary,package:spendant/src/services/daily_budget_service.dart,2,128,128,0,1,64,64,0,1,64,64,0
SvgAttributes,package:vector_graphics_compiler/src/svg/parser.dart,1,112,112,0,0,0,0,0,1,112,112,0
_CategorySuggestion,package:spendant/src/services/notification_expense_parser.dart,7,112,112,0,0,0,0,0,7,112,112,0
NoInternetBanner,package:spendant/src/widgets/no_internet_banner.dart,7,112,112,0,0,0,0,0,7,112,112,0
State,package:syncfusion_flutter_pdf/src/pdf/implementation/io/pdf_lexer.dart,3,96,96,0,0,0,0,0,3,96,96,0
_ValueIterable,package:hive/src/util/indexable_skip_list.dart,6,96,96,0,6,96,96,0,0,0,0,0
_ReceiptSourceOption,package:spendant/src/screens/new_expense_screen.dart,3,96,96,0,0,0,0,0,3,96,96,0
LocationSettings,package:geolocator_platform_interface/src/models/location_settings.dart,3,96,96,0,0,0,0,0,3,96,96,0
GroupAlertBehavior,package:flutter_local_notifications/src/platform_specifics/android/enums.dart,3,96,96,0,0,0,0,0,3,96,96,0
Source,package:cloud_firestore_platform_interface/src/pigeon/messages.pigeon.dart,3,96,96,0,0,0,0,0,3,96,96,0
LocationAccuracy,package:geolocator_platform_interface/src/enums/location_accuracy.dart,3,96,96,0,0,0,0,0,3,96,96,0
PermissionsIntroStep,package:spendant/src/services/post_auth_navigation.dart,3,96,96,0,0,0,0,0,3,96,96,0
ServerTimestampBehavior,package:cloud_firestore_platform_interface/src/pigeon/messages.pigeon.dart,3,96,96,0,0,0,0,0,3,96,96,0
BlockType,package:syncfusion_flutter_pdf/src/pdf/implementation/compression/enums.dart,3,96,96,0,0,0,0,0,3,96,96,0
Rect,package:vector_graphics_compiler/src/geometry/basic_types.dart,2,96,96,0,0,0,0,0,2,96,96,0
PdfFontStyle,package:syncfusion_flutter_pdf/src/pdf/implementation/graphics/fonts/enums.dart,3,96,96,0,0,0,0,0,3,96,96,0
_RegisterIntroStep,package:spendant/src/screens/post_register_intro_screen.dart,3,96,96,0,0,0,0,0,3,96,96,0
PdfEncryptionOptions,package:syncfusion_flutter_pdf/src/pdf/implementation/security/enum.dart,3,96,96,0,0,0,0,0,3,96,96,0
PigeonQueryParameters,package:cloud_firestore_platform_interface/src/pigeon/messages.pigeon.dart,2,96,96,0,2,96,96,0,0,0,0,0
AggregateType,package:cloud_firestore_platform_interface/src/pigeon/messages.pigeon.dart,3,96,96,0,0,0,0,0,3,96,96,0
_ValueIterator,package:hive/src/util/indexable_skip_list.dart,6,96,96,0,6,96,96,0,0,0,0,0
GradientUnitMode,package:vector_graphics_compiler/src/paint.dart,3,96,96,0,0,0,0,0,3,96,96,0
ChangeNotifier,package:hive/src/box/change_notifier.dart,6,96,96,0,0,0,0,0,6,96,96,0
StrokeCap,package:vector_graphics_compiler/src/paint.dart,3,96,96,0,0,0,0,0,3,96,96,0
StrokeJoin,package:vector_graphics_compiler/src/paint.dart,3,96,96,0,0,0,0,0,3,96,96,0
FrameIoHelper,package:hive/src/io/frame_io_helper.dart,6,96,96,0,0,0,0,0,6,96,96,0
TileMode,package:vector_graphics_compiler/src/paint.dart,3,96,96,0,0,0,0,0,3,96,96,0
PermissionsReviewFlow,package:spendant/src/services/permissions_review_service.dart,3,96,96,0,0,0,0,0,3,96,96,0
ReadWriteSync,package:hive/src/backend/vm/read_write_sync.dart,6,96,96,0,0,0,0,0,6,96,96,0
DocumentChangeType,package:cloud_firestore_platform_interface/src/pigeon/messages.pigeon.dart,3,96,96,0,0,0,0,0,3,96,96,0
Pointer,package:cloud_firestore_platform_interface/src/internal/pointer.dart,5,80,80,0,5,80,80,0,0,0,0,0
PermissionWithService,package:permission_handler_platform_interface/permission_handler_platform_interface.dart,5,80,80,0,0,0,0,0,5,80,80,0
AppNotificationModel,package:spendant/src/models/app_notification_model.dart,1,80,80,0,0,0,0,0,1,80,80,0
PermissionsReviewDestination,package:spendant/src/services/permissions_review_service.dart,2,64,64,0,0,0,0,0,2,64,64,0
PathFillType,package:vector_graphics_compiler/src/geometry/path.dart,2,64,64,0,0,0,0,0,2,64,64,0
PigeonUserInfo,package:firebase_auth_platform_interface/src/pigeon/messages.pigeon.dart,1,64,64,0,0,0,0,0,1,64,64,0
Importance,package:flutter_local_notifications/src/platform_specifics/android/enums.dart,2,64,64,0,0,0,0,0,2,64,64,0
TextDecoration,package:vector_graphics_compiler/src/paint.dart,4,64,64,0,0,0,0,0,4,64,64,0
AuthGreetingState,package:spendant/src/services/auth_memory_store.dart,2,64,64,0,0,0,0,0,2,64,64,0
_ExpenseLabelGroup,package:spendant/src/screens/new_expense_screen.dart,4,64,64,0,0,0,0,0,4,64,64,0
MethodChannelFirebaseAuth,package:firebase_auth_platform_interface/src/method_channel/method_channel_firebase_auth.dart,2,64,64,0,0,0,0,0,2,64,64,0
MethodChannelFirebaseFirestore,package:cloud_firestore_platform_interface/src/method_channel/method_channel_firestore.dart,2,64,64,0,0,0,0,0,2,64,64,0
MethodChannelQuery,package:cloud_firestore_platform_interface/src/method_channel/method_channel_query.dart,2,64,64,0,2,64,64,0,0,0,0,0
CloudSyncSummary,package:spendant/src/services/cloud_sync_service.dart,1,64,64,0,1,64,64,0,0,0,0,0
AffineMatrix,package:vector_graphics_compiler/src/geometry/matrix.dart,1,64,64,0,0,0,0,0,1,64,64,0
PigeonQuerySnapshot,package:cloud_firestore_platform_interface/src/pigeon/messages.pigeon.dart,2,64,64,0,2,64,64,0,0,0,0,0
DrawCommand,package:vector_graphics_compiler/src/vector_instructions.dart,2,64,64,0,0,0,0,0,2,64,64,0
PaintingStyle,package:vector_graphics_compiler/src/paint.dart,2,64,64,0,0,0,0,0,2,64,64,0
XmlAttributeType,package:xml/src/xml/enums/attribute_type.dart,2,64,64,0,0,0,0,0,2,64,64,0
_HomeHeader,package:spendant/src/screens/home_screen.dart,2,64,64,0,1,32,32,0,1,32,32,0
Sign,package:firstfloor_calendar/src/semantic/calendar_types.dart,2,64,64,0,0,0,0,0,2,64,64,0
SpendAntWordmark,package:spendant/src/widgets/auth_chrome.dart,2,64,64,0,0,0,0,0,2,64,64,0
SpendAntBottomNav,package:spendant/src/widgets/spendant_bottom_nav.dart,2,64,64,0,0,0,0,0,2,64,64,0
FirebaseApp,package:firebase_core/firebase_core.dart,4,64,64,0,0,0,0,0,4,64,64,0
UserModel,package:spendant/src/models/user_model.dart,1,64,64,0,0,0,0,0,1,64,64,0
AndroidNotificationCategory,package:flutter_local_notifications/src/platform_specifics/android/enums.dart,2,64,64,0,0,0,0,0,2,64,64,0
ColorOrNone,package:vector_graphics_compiler/src/svg/parser.dart,3,48,48,0,0,0,0,0,3,48,48,0
BasicLock,package:synchronized/src/basic_lock.dart,3,48,48,0,0,0,0,0,3,48,48,0
Settings,package:cloud_firestore_platform_interface/src/settings.dart,1,48,48,0,0,0,0,0,1,48,48,0
_HomeScreenState,package:spendant/src/screens/home_screen.dart,1,48,48,0,0,0,0,0,1,48,48,0
SqfliteDatabaseBase,package:sqflite_common/src/database_mixin.dart,1,48,48,0,0,0,0,0,1,48,48,0
CalendarAvailabilityService,package:spendant/src/services/calendar_availability_service.dart,1,48,48,0,0,0,0,0,1,48,48,0
_SpendAntAppState,package:spendant/app.dart,1,48,48,0,0,0,0,0,1,48,48,0
SqfliteOpenDatabaseOptions,package:sqflite_common/src/open_options.dart,1,48,48,0,0,0,0,0,1,48,48,0
PineconeConfiguration,package:spendant/src/services/pinecone_configuration.dart,1,48,48,0,0,0,0,0,1,48,48,0
PigeonSnapshotMetadata,package:cloud_firestore_platform_interface/src/pigeon/messages.pigeon.dart,2,32,32,0,2,32,32,0,0,0,0,0
FirestorePigeonFirebaseApp,package:cloud_firestore_platform_interface/src/pigeon/messages.pigeon.dart,1,32,32,0,0,0,0,0,1,32,32,0
PigeonFirebaseSettings,package:cloud_firestore_platform_interface/src/pigeon/messages.pigeon.dart,1,32,32,0,0,0,0,0,1,32,32,0
Priority,package:flutter_local_notifications/src/platform_specifics/android/enums.dart,1,32,32,0,0,0,0,0,1,32,32,0
InputImageType,package:google_mlkit_commons/src/input_image.dart,1,32,32,0,0,0,0,0,1,32,32,0
RenderingStrategy,package:vector_graphics/src/vector_graphics.dart,1,32,32,0,0,0,0,0,1,32,32,0
ConstantCharPredicate,package:petitparser/src/parser/character/predicate/constant.dart,2,32,32,0,0,0,0,0,2,32,32,0
SvgTheme,package:flutter_svg/src/loaders.dart,1,32,32,0,0,0,0,0,1,32,32,0
GetOptions,package:cloud_firestore_platform_interface/src/get_options.dart,2,32,32,0,0,0,0,0,2,32,32,0
FieldPath,package:cloud_firestore_platform_interface/src/field_path.dart,2,32,32,0,2,32,32,0,0,0,0,0
_JsonQuerySnapshot,package:cloud_firestore/cloud_firestore.dart,2,32,32,0,2,32,32,0,0,0,0,0
_JsonQuery,package:cloud_firestore/cloud_firestore.dart,2,32,32,0,2,32,32,0,0,0,0,0
FingerprintLoginResult,package:spendant/src/services/fingerprint_login_service.dart,2,32,32,0,0,0,0,0,2,32,32,0
Cache,package:flutter_svg/src/cache.dart,1,32,32,0,0,0,0,0,1,32,32,0
DateTimeWithTimezoneAdapter,package:hive/src/adapters/date_time_adapter.dart,1,32,32,0,0,0,0,0,1,32,32,0
FirebaseAnalytics,package:firebase_analytics/firebase_analytics.dart,1,32,32,0,0,0,0,0,1,32,32,0
SqfliteDatabaseFactoryImpl,package:sqflite_platform_interface/src/factory_platform.dart,1,32,32,0,0,0,0,0,1,32,32,0
NewIncomeScreen,package:spendant/src/screens/budget_screen.dart,1,32,32,0,0,0,0,0,1,32,32,0
FirebaseAuth,package:firebase_auth/firebase_auth.dart,1,32,32,0,0,0,0,0,1,32,32,0
TextRecognitionScript,package:google_mlkit_text_recognition/src/text_recognizer.dart,1,32,32,0,0,0,0,0,1,32,32,0
DateTimeAdapter,package:hive/src/adapters/date_time_adapter.dart,1,32,32,0,0,0,0,0,1,32,32,0
AudioAttributesUsage,package:flutter_local_notifications/src/platform_specifics/android/enums.dart,1,32,32,0,0,0,0,0,1,32,32,0
SqfliteDatabaseOpenHelper,package:sqflite_common/src/database.dart,1,32,32,0,0,0,0,0,1,32,32,0
ReceiptAmountAnalysis,package:spendant/src/services/receipt_scan_service.dart,1,32,32,0,0,0,0,0,1,32,32,0
MethodChannelCollectionReference,package:cloud_firestore_platform_interface/src/method_channel/method_channel_collection_reference.dart,1,32,32,0,1,32,32,0,0,0,0,0
_BootstrapAppState,package:spendant/main.dart,1,32,32,0,0,0,0,0,1,32,32,0
IncomeModelAdapter,package:spendant/src/models/income_model.dart,1,32,32,0,0,0,0,0,1,32,32,0
PermissionsIntroArgs,package:spendant/src/services/post_auth_navigation.dart,1,32,32,0,0,0,0,0,1,32,32,0
MethodChannelQuerySnapshot,package:cloud_firestore_platform_interface/src/method_channel/method_channel_query_snapshot.dart,2,32,32,0,2,32,32,0,0,0,0,0
HiveImpl,package:hive/src/hive_impl.dart,1,32,32,0,0,0,0,0,1,32,32,0
GreenScreenScaffold,package:spendant/src/widgets/auth_chrome.dart,1,32,32,0,0,0,0,0,1,32,32,0
MethodChannelConnectivity,package:connectivity_plus_platform_interface/method_channel_connectivity.dart,1,32,32,0,0,0,0,0,1,32,32,0
MethodChannelFirebaseAnalytics,package:firebase_analytics_platform_interface/src/method_channel/method_channel_firebase_analytics.dart,2,32,32,0,0,0,0,0,2,32,32,0
BigIntAdapter,package:hive/src/adapters/big_int_adapter.dart,1,32,32,0,0,0,0,0,1,32,32,0
_GoalRulesNotice,package:spendant/src/screens/set_goal_screen.dart,1,32,32,0,0,0,0,0,1,32,32,0
LocalNotificationAttemptResult,package:spendant/src/services/local_notification_service.dart,2,32,32,0,0,0,0,0,2,32,32,0
_Error,package:syncfusion_flutter_pdf/src/pdf/implementation/io/pdf_lexer.dart,1,32,32,0,0,0,0,0,1,32,32,0
_SpendAntAuthDecisionDialog,package:spendant/src/screens/login_screen.dart,1,32,32,0,0,0,0,0,1,32,32,0
GooglePayImportResult,package:spendant/src/services/google_pay_expense_import_service.dart,2,32,32,0,0,0,0,0,2,32,32,0
PdfObjectStatus,package:syncfusion_flutter_pdf/src/pdf/implementation/io/enums.dart,1,32,32,0,0,0,0,0,1,32,32,0
GoalModelAdapter,package:spendant/src/models/goal_model.dart,1,32,32,0,0,0,0,0,1,32,32,0
FieldPathType,package:cloud_firestore_platform_interface/src/field_path_type.dart,1,32,32,0,0,0,0,0,1,32,32,0
ExpenseModelAdapter,package:spendant/src/models/expense_model.dart,1,32,32,0,0,0,0,0,1,32,32,0
Point,package:vector_graphics_compiler/src/geometry/basic_types.dart,1,32,32,0,0,0,0,0,1,32,32,0
AutoCategorizationService,package:spendant/src/services/auto_categorization_service.dart,1,32,32,0,0,0,0,0,1,32,32,0
AppNotificationModelAdapter,package:spendant/src/models/app_notification_model.dart,1,32,32,0,0,0,0,0,1,32,32,0
CalendarAvailabilitySnapshot,package:spendant/src/services/calendar_availability_service.dart,1,32,32,0,0,0,0,0,1,32,32,0
FirebaseAnalyticsHostApi,package:firebase_analytics_platform_interface/src/pigeon/messages.pigeon.dart,2,32,32,0,0,0,0,0,2,32,32,0
AndroidNotificationChannelAction,package:flutter_local_notifications/src/platform_specifics/android/enums.dart,1,32,32,0,0,0,0,0,1,32,32,0
UserModelAdapter,package:spendant/src/models/user_model.dart,1,32,32,0,0,0,0,0,1,32,32,0
ExistingWorkPolicy,package:workmanager/src/options.dart,1,32,32,0,0,0,0,0,1,32,32,0
BiometricAuthResult,package:spendant/src/services/biometric_auth_service.dart,2,32,32,0,0,0,0,0,2,32,32,0
LabelModelAdapter,package:spendant/src/models/label_model.dart,1,32,32,0,0,0,0,0,1,32,32,0
NewExpenseScreen,package:spendant/src/screens/new_expense_screen.dart,1,32,32,0,0,0,0,0,1,32,32,0
FirebaseAuthHostApi,package:firebase_auth_platform_interface/src/pigeon/messages.pigeon.dart,2,32,32,0,0,0,0,0,2,32,32,0
PigeonGetOptions,package:cloud_firestore_platform_interface/src/pigeon/messages.pigeon.dart,2,32,32,0,2,32,32,0,0,0,0,0
_PathOffset,package:path_parsing/src/path_parsing.dart,1,32,32,0,0,0,0,0,1,32,32,0
FirebaseFirestore,package:cloud_firestore/cloud_firestore.dart,1,32,32,0,0,0,0,0,1,32,32,0
FilePickerIO,package:file_picker/src/file_picker_io.dart,1,16,16,0,0,0,0,0,1,16,16,0
SpendAntApp,package:spendant/app.dart,1,16,16,0,0,0,0,0,1,16,16,0
LoadingScreen,package:spendant/src/screens/loading_screen.dart,1,16,16,0,0,0,0,0,1,16,16,0
XmlNodeDecoder,package:xml/src/xml_events/converters/node_decoder.dart,1,16,16,0,0,0,0,0,1,16,16,0
LocationPermissionIntroScreen,package:spendant/src/screens/location_permission_intro_screen.dart,1,16,16,0,0,0,0,0,1,16,16,0
NotificationsScreen,package:spendant/src/screens/notifications_screen.dart,1,16,16,0,0,0,0,0,1,16,16,0
OnboardingScreen,package:spendant/src/screens/onboarding_screen.dart,1,16,16,0,0,0,0,0,1,16,16,0
PostRegisterIntroScreen,package:spendant/src/screens/post_register_intro_screen.dart,1,16,16,0,0,0,0,0,1,16,16,0
SetGoalScreen,package:spendant/src/screens/set_goal_screen.dart,1,16,16,0,0,0,0,0,1,16,16,0
_StartupLoadingApp,package:spendant/main.dart,1,16,16,0,0,0,0,0,1,16,16,0
BudgetScreen,package:spendant/src/screens/budget_screen.dart,1,16,16,0,0,0,0,0,1,16,16,0
_EmptyIncomesCard,package:spendant/src/screens/budget_screen.dart,1,16,16,0,0,0,0,0,1,16,16,0
_EmptyExpensesCard,package:spendant/src/screens/home_screen.dart,1,16,16,0,0,0,0,0,1,16,16,0
LoginScreen,package:spendant/src/screens/login_screen.dart,1,16,16,0,0,0,0,0,1,16,16,0
_EmptyNotificationsState,package:spendant/src/screens/notifications_screen.dart,1,16,16,0,0,0,0,0,1,16,16,0
RegisterScreen,package:spendant/src/screens/register_screen.dart,1,16,16,0,0,0,0,0,1,16,16,0
_EmptyGoalsCard,package:spendant/src/screens/set_goal_screen.dart,1,16,16,0,0,0,0,0,1,16,16,0
_EmptyNode,package:vector_graphics_compiler/src/svg/node.dart,1,16,16,0,0,0,0,0,1,16,16,0
Clock,package:clock/src/clock.dart,1,16,16,0,0,0,0,0,1,16,16,0
_JsonCollectionReference,package:cloud_firestore/cloud_firestore.dart,1,16,16,0,1,16,16,0,0,0,0,0
_FirebaseFirestoreHostApiCodec,package:cloud_firestore_platform_interface/src/pigeon/messages.pigeon.dart,1,16,16,0,0,0,0,0,1,16,16,0
_PigeonCodec,package:firebase_analytics_platform_interface/src/pigeon/messages.pigeon.dart,1,16,16,0,0,0,0,0,1,16,16,0
_FirebaseAuthHostApiCodec,package:firebase_auth_platform_interface/src/pigeon/messages.pigeon.dart,1,16,16,0,0,0,0,0,1,16,16,0
_PigeonCodec,package:firebase_core_platform_interface/src/pigeon/messages.pigeon.dart,1,16,16,0,0,0,0,0,1,16,16,0
FirebaseFirestoreHostApi,package:cloud_firestore_platform_interface/src/pigeon/messages.pigeon.dart,1,16,16,0,0,0,0,0,1,16,16,0
_BootstrapApp,package:spendant/main.dart,1,16,16,0,0,0,0,0,1,16,16,0
MethodChannelMultiFactor,package:firebase_auth_platform_interface/src/method_channel/method_channel_multi_factor.dart,1,16,16,0,0,0,0,0,1,16,16,0
MethodChannelUser,package:firebase_auth_platform_interface/src/method_channel/method_channel_user.dart,1,16,16,0,0,0,0,0,1,16,16,0
MethodChannelFirebase,package:firebase_core_platform_interface/firebase_core_platform_interface.dart,1,16,16,0,0,0,0,0,1,16,16,0
NoResultFoundException,package:geocoding_platform_interface/src/errors/no_result_found_exception.dart,1,16,16,0,0,0,0,0,1,16,16,0
MethodChannelFirebaseApp,package:firebase_core_platform_interface/firebase_core_platform_interface.dart,1,16,16,0,0,0,0,0,1,16,16,0
AndroidFlutterLocalNotificationsPlugin,package:flutter_local_notifications/src/platform_flutter_local_notifications.dart,1,16,16,0,0,0,0,0,1,16,16,0
GeocodingAndroid,package:geocoding_android/geocoding_android.dart,1,16,16,0,0,0,0,0,1,16,16,0
GeolocatorAndroid,package:geolocator_android/src/geolocator_android.dart,1,16,16,0,0,0,0,0,1,16,16,0
Connectivity,package:connectivity_plus/connectivity_plus.dart,1,16,16,0,0,0,0,0,1,16,16,0
IfdNone,package:exif/src/exif_types.dart,1,16,16,0,0,0,0,0,1,16,16,0
