"Class","Library","Total Instances","Total Size","Total Dart Heap Size","Total External Size","New Space Instances","New Space Size","New Space Dart Heap Size","New Space External Size","Old Space Instances","Old Space Size","Old Space Dart Heap Size","Old Space External Size"
GoalModelAdapter,package:spendant/src/models/goal_model.dart,1,32,32,0,0,0,0,0,1,32,32,0
ExpenseModelAdapter,package:spendant/src/models/expense_model.dart,1,32,32,0,0,0,0,0,1,32,32,0
AppNotificationModelAdapter,package:spendant/src/models/app_notification_model.dart,1,32,32,0,0,0,0,0,1,32,32,0
DateTimeWithTimezoneAdapter,package:hive/src/adapters/date_time_adapter.dart,1,32,32,0,0,0,0,0,1,32,32,0
DateTimeAdapter,package:hive/src/adapters/date_time_adapter.dart,1,32,32,0,0,0,0,0,1,32,32,0
BigIntAdapter,package:hive/src/adapters/big_int_adapter.dart,1,32,32,0,0,0,0,0,1,32,32,0
SvgTheme,package:flutter_svg/src/loaders.dart,1,32,32,0,0,0,0,0,1,32,32,0
Cache,package:flutter_svg/src/cache.dart,1,32,32,0,0,0,0,0,1,32,32,0
_BootstrapAppState,package:spendant/main.dart,1,32,32,0,0,0,0,0,1,32,32,0
GreenScreenScaffold,package:spendant/src/widgets/auth_chrome.dart,1,32,32,0,0,0,0,0,1,32,32,0
_GoalRulesNotice,package:spendant/src/screens/set_goal_screen.dart,1,32,32,0,0,0,0,0,1,32,32,0
_SpendAntAuthDecisionDialog,package:spendant/src/screens/login_screen.dart,1,32,32,0,0,0,0,0,1,32,32,0
_HomeHeader,package:spendant/src/screens/home_screen.dart,1,32,32,0,0,0,0,0,1,32,32,0
NewExpenseScreen,package:spendant/src/screens/new_expense_screen.dart,1,32,32,0,0,0,0,0,1,32,32,0
NewIncomeScreen,package:spendant/src/screens/budget_screen.dart,1,32,32,0,0,0,0,0,1,32,32,0
FirebaseAuthHostApi,package:firebase_auth_platform_interface/src/pigeon/messages.pigeon.dart,2,32,32,0,0,0,0,0,2,32,32,0
MethodChannelConnectivity,package:connectivity_plus_platform_interface/method_channel_connectivity.dart,1,32,32,0,0,0,0,0,1,32,32,0
FirebaseAuth,package:firebase_auth/firebase_auth.dart,1,32,32,0,0,0,0,0,1,32,32,0
FirebaseFirestore,package:cloud_firestore/cloud_firestore.dart,1,32,32,0,0,0,0,0,1,32,32,0
FirestorePigeonFirebaseApp,package:cloud_firestore_platform_interface/src/pigeon/messages.pigeon.dart,1,32,32,0,0,0,0,0,1,32,32,0
PigeonFirebaseSettings,package:cloud_firestore_platform_interface/src/pigeon/messages.pigeon.dart,1,32,32,0,0,0,0,0,1,32,32,0
GetOptions,package:cloud_firestore_platform_interface/src/get_options.dart,2,32,32,0,0,0,0,0,2,32,32,0
ExistingWorkPolicy,package:workmanager/src/options.dart,1,32,32,0,0,0,0,0,1,32,32,0
RenderingStrategy,package:vector_graphics/src/vector_graphics.dart,1,32,32,0,0,0,0,0,1,32,32,0
PdfCrossReferenceType,package:syncfusion_flutter_pdf/src/pdf/implementation/pdf_document/enums.dart,1,32,32,0,0,0,0,0,1,32,32,0
_Error,package:syncfusion_flutter_pdf/src/pdf/implementation/io/pdf_lexer.dart,1,32,32,0,0,0,0,0,1,32,32,0
PdfWordWrapType,package:syncfusion_flutter_pdf/src/pdf/implementation/graphics/fonts/enums.dart,1,32,32,0,0,0,0,0,1,32,32,0
PdfSubSuperscript,package:syncfusion_flutter_pdf/src/pdf/implementation/graphics/fonts/enums.dart,1,32,32,0,0,0,0,0,1,32,32,0
PdfLineCap,package:syncfusion_flutter_pdf/src/pdf/implementation/graphics/enums.dart,1,32,32,0,0,0,0,0,1,32,32,0
PdfLineJoin,package:syncfusion_flutter_pdf/src/pdf/implementation/graphics/enums.dart,1,32,32,0,0,0,0,0,1,32,32,0
PdfDashStyle,package:syncfusion_flutter_pdf/src/pdf/implementation/graphics/enums.dart,1,32,32,0,0,0,0,0,1,32,32,0
PdfTextDirection,package:syncfusion_flutter_pdf/src/pdf/implementation/graphics/enums.dart,1,32,32,0,0,0,0,0,1,32,32,0
SqliteSqlCommandType,package:sqflite_common/src/sql_command.dart,1,32,32,0,0,0,0,0,1,32,32,0
TextRecognitionScript,package:google_mlkit_text_recognition/src/text_recognizer.dart,1,32,32,0,0,0,0,0,1,32,32,0
InputImageType,package:google_mlkit_commons/src/input_image.dart,1,32,32,0,0,0,0,0,1,32,32,0
AudioAttributesUsage,package:flutter_local_notifications/src/platform_specifics/android/enums.dart,1,32,32,0,0,0,0,0,1,32,32,0
Priority,package:flutter_local_notifications/src/platform_specifics/android/enums.dart,1,32,32,0,0,0,0,0,1,32,32,0
AndroidNotificationChannelAction,package:flutter_local_notifications/src/platform_specifics/android/enums.dart,1,32,32,0,0,0,0,0,1,32,32,0
FieldPathType,package:cloud_firestore_platform_interface/src/field_path_type.dart,1,32,32,0,0,0,0,0,1,32,32,0
XmlDefaultEntityMapping,package:xml/src/xml/entities/default_mapping.dart,1,16,16,0,0,0,0,0,1,16,16,0
Workmanager,package:workmanager/src/workmanager.dart,1,16,16,0,0,0,0,0,1,16,16,0
_EmptyNode,package:vector_graphics_compiler/src/svg/node.dart,1,16,16,0,0,0,0,0,1,16,16,0
Fill,package:vector_graphics_compiler/src/paint.dart,1,16,16,0,0,0,0,0,1,16,16,0
CloseCommand,package:vector_graphics_compiler/src/geometry/path.dart,1,16,16,0,0,0,0,0,1,16,16,0
VectorGraphicsCodec,package:vector_graphics_codec/vector_graphics_codec.dart,1,16,16,0,0,0,0,0,1,16,16,0
DecodeResponse,package:vector_graphics_codec/vector_graphics_codec.dart,1,16,16,0,0,0,0,0,1,16,16,0
_DefaultPictureFactory,package:vector_graphics/src/listener.dart,1,16,16,0,0,0,0,0,1,16,16,0
Uuid,package:uuid/uuid.dart,1,16,16,0,0,0,0,0,1,16,16,0
UnicodeGlyphSet,package:term_glyph/src/generated/unicode_glyph_set.dart,1,16,16,0,0,0,0,0,1,16,16,0
HttpPineconeRepository,package:spendant/src/services/pinecone_repository.dart,1,16,16,0,0,0,0,0,1,16,16,0
HabitFixerMonitorService,package:spendant/src/services/habit_fixer_monitor_service.dart,1,16,16,0,0,0,0,0,1,16,16,0
ExpenseLocationService,package:spendant/src/services/expense_location_service.dart,1,16,16,0,0,0,0,0,1,16,16,0
PineconeEmbeddingService,package:spendant/src/services/embedding_service.dart,1,16,16,0,0,0,0,0,1,16,16,0
DefaultConnectivityService,package:spendant/src/services/connectivity_service.dart,1,16,16,0,0,0,0,0,1,16,16,0
AppAnalyticsService,package:spendant/src/services/app_analytics_service.dart,1,16,16,0,0,0,0,0,1,16,16,0
ExpenseAnalyticsRepository,package:spendant/src/repositories/expense_analytics_repository.dart,1,16,16,0,0,0,0,0,1,16,16,0
WhitespaceCharPredicate,package:petitparser/src/parser/character/predicate/whitespace.dart,1,16,16,0,0,0,0,0,1,16,16,0
IOSAuthMessages,package:local_auth_darwin/types/auth_messages_ios.dart,1,16,16,0,0,0,0,0,1,16,16,0
BackendManager,package:hive/src/backend/vm/backend_manager.dart,1,16,16,0,0,0,0,0,1,16,16,0
LocationServiceDisabledException,package:geolocator_platform_interface/src/errors/location_service_disabled_exception.dart,1,16,16,0,0,0,0,0,1,16,16,0
AlreadySubscribedException,package:geolocator_platform_interface/src/errors/already_subscribed_exception.dart,1,16,16,0,0,0,0,0,1,16,16,0
NoResultFoundException,package:geocoding_platform_interface/src/errors/no_result_found_exception.dart,1,16,16,0,0,0,0,0,1,16,16,0
Svg,package:flutter_svg/svg.dart,1,16,16,0,0,0,0,0,1,16,16,0
DefaultStyleInformation,package:flutter_local_notifications/src/platform_specifics/android/styles/default_style_information.dart,1,16,16,0,0,0,0,0,1,16,16,0
DrawableResourceAndroidBitmap,package:flutter_local_notifications/src/platform_specifics/android/bitmap.dart,1,16,16,0,0,0,0,0,1,16,16,0
FlutterLocalNotificationsPlugin,package:flutter_local_notifications/src/flutter_local_notifications_plugin.dart,1,16,16,0,0,0,0,0,1,16,16,0
Parser,package:flutter_dotenv/src/parser.dart,1,16,16,0,0,0,0,0,1,16,16,0
DotEnv,package:flutter_dotenv/src/dotenv.dart,1,16,16,0,0,0,0,0,1,16,16,0
_GoalAmountFormatter,package:spendant/src/screens/set_goal_screen.dart,1,16,16,0,0,0,0,0,1,16,16,0
_CurrencyThousandsFormatter,package:spendant/src/screens/new_expense_screen.dart,1,16,16,0,0,0,0,0,1,16,16,0
_CurrencyThousandsFormatter,package:spendant/src/screens/budget_screen.dart,1,16,16,0,0,0,0,0,1,16,16,0
_EmptyGoalsCard,package:spendant/src/screens/set_goal_screen.dart,1,16,16,0,0,0,0,0,1,16,16,0
RegisterScreen,package:spendant/src/screens/register_screen.dart,1,16,16,0,0,0,0,0,1,16,16,0
_EmptyNotificationsState,package:spendant/src/screens/notifications_screen.dart,1,16,16,0,0,0,0,0,1,16,16,0
LoginScreen,package:spendant/src/screens/login_screen.dart,1,16,16,0,0,0,0,0,1,16,16,0
_EmptyExpensesCard,package:spendant/src/screens/home_screen.dart,1,16,16,0,0,0,0,0,1,16,16,0
_EmptyIncomesCard,package:spendant/src/screens/budget_screen.dart,1,16,16,0,0,0,0,0,1,16,16,0
BudgetScreen,package:spendant/src/screens/budget_screen.dart,1,16,16,0,0,0,0,0,1,16,16,0
_StartupLoadingApp,package:spendant/main.dart,1,16,16,0,0,0,0,0,1,16,16,0
VoiceRegisterScreen,package:spendant/src/screens/voice_register_screen.dart,1,16,16,0,0,0,0,0,1,16,16,0
SetGoalScreen,package:spendant/src/screens/set_goal_screen.dart,1,16,16,0,0,0,0,0,1,16,16,0
ReportSetupScreen,package:spendant/src/screens/report_setup_screen.dart,1,16,16,0,0,0,0,0,1,16,16,0
ReportScreen,package:spendant/src/screens/report_screen.dart,1,16,16,0,0,0,0,0,1,16,16,0
ProfileScreen,package:spendant/src/screens/profile_screen.dart,1,16,16,0,0,0,0,0,1,16,16,0
PostRegisterIntroScreen,package:spendant/src/screens/post_register_intro_screen.dart,1,16,16,0,0,0,0,0,1,16,16,0
OnboardingScreen,package:spendant/src/screens/onboarding_screen.dart,1,16,16,0,0,0,0,0,1,16,16,0
NotificationsScreen,package:spendant/src/screens/notifications_screen.dart,1,16,16,0,0,0,0,0,1,16,16,0
LocationPermissionIntroScreen,package:spendant/src/screens/location_permission_intro_screen.dart,1,16,16,0,0,0,0,0,1,16,16,0
LoadingScreen,package:spendant/src/screens/loading_screen.dart,1,16,16,0,0,0,0,0,1,16,16,0
HomeScreen,package:spendant/src/screens/home_screen.dart,1,16,16,0,0,0,0,0,1,16,16,0
CurrencyConverterScreen,package:spendant/src/screens/currency_converter_screen.dart,1,16,16,0,0,0,0,0,1,16,16,0
_BootstrapApp,package:spendant/main.dart,1,16,16,0,0,0,0,0,1,16,16,0
SpendAntApp,package:spendant/app.dart,1,16,16,0,0,0,0,0,1,16,16,0
FirebaseCoreHostApi,package:firebase_core_platform_interface/src/pigeon/messages.pigeon.dart,1,16,16,0,0,0,0,0,1,16,16,0
PigeonUserDetails,package:firebase_auth_platform_interface/src/pigeon/messages.pigeon.dart,1,16,16,0,0,0,0,0,1,16,16,0
_ValueWrapper,package:firebase_auth_platform_interface/src/method_channel/method_channel_firebase_auth.dart,1,16,16,0,0,0,0,0,1,16,16,0
IfdNone,package:exif/src/exif_types.dart,1,16,16,0,0,0,0,0,1,16,16,0
Connectivity,package:connectivity_plus/connectivity_plus.dart,1,16,16,0,0,0,0,0,1,16,16,0
GeolocatorAndroid,package:geolocator_android/src/geolocator_android.dart,1,16,16,0,0,0,0,0,1,16,16,0
GeocodingAndroid,package:geocoding_android/geocoding_android.dart,1,16,16,0,0,0,0,0,1,16,16,0
AndroidFlutterLocalNotificationsPlugin,package:flutter_local_notifications/src/platform_flutter_local_notifications.dart,1,16,16,0,0,0,0,0,1,16,16,0
MethodChannelFirebaseApp,package:firebase_core_platform_interface/firebase_core_platform_interface.dart,1,16,16,0,0,0,0,0,1,16,16,0
MethodChannelFirebase,package:firebase_core_platform_interface/firebase_core_platform_interface.dart,1,16,16,0,0,0,0,0,1,16,16,0
MethodChannelUser,package:firebase_auth_platform_interface/src/method_channel/method_channel_user.dart,1,16,16,0,0,0,0,0,1,16,16,0
MethodChannelMultiFactor,package:firebase_auth_platform_interface/src/method_channel/method_channel_multi_factor.dart,1,16,16,0,0,0,0,0,1,16,16,0
FilePickerIO,package:file_picker/src/file_picker_io.dart,1,16,16,0,0,0,0,0,1,16,16,0
FirebaseFirestoreHostApi,package:cloud_firestore_platform_interface/src/pigeon/messages.pigeon.dart,1,16,16,0,0,0,0,0,1,16,16,0
MixpanelMessageCodec,package:mixpanel_flutter/codec/mixpanel_message_codec.dart,1,16,16,0,0,0,0,0,1,16,16,0
_PigeonCodec,package:firebase_core_platform_interface/src/pigeon/messages.pigeon.dart,1,16,16,0,0,0,0,0,1,16,16,0
_FirebaseAuthHostApiCodec,package:firebase_auth_platform_interface/src/pigeon/messages.pigeon.dart,1,16,16,0,0,0,0,0,1,16,16,0
_FirebaseFirestoreHostApiCodec,package:cloud_firestore_platform_interface/src/pigeon/messages.pigeon.dart,1,16,16,0,0,0,0,0,1,16,16,0
Clock,package:clock/src/clock.dart,1,16,16,0,0,0,0,0,1,16,16,0
XmlNodeDecoder,package:xml/src/xml_events/converters/node_decoder.dart,1,16,16,0,0,0,0,0,1,16,16,0
